id    fam   orbifold  N                n=2              n=3              n=4              n=5              n=6             n=12
g1    p1    ◦         1            3:1|4:1         8:1|18:1        12:1|44:2       24:1|100:1       24:1|158:3      96:1|1360:5
g230  p3m1  *333      1            1:1|2:2          0:0|2:1          0:0|4:2          0:0|4:1          0:0|6:3          0:0|8:2
g231  p3m1  *333      2            1:1|0:0          0:0|2:1          0:0|2:1          0:0|4:1          0:0|2:1          0:0|4:1
g232  p31m  3*3       1            1:1|2:2          2:1|6:2          0:0|4:2          0:0|4:1         2:1|22:8         0:0|32:6
g233  p31m  3*3       2            1:1|0:0          2:1|6:2          0:0|2:1          0:0|4:1          2:1|6:2         0:0|16:3
g234  p31m  3*3       3            1:1|2:2          2:1|0:0          0:0|4:2          0:0|4:1          2:1|4:2          0:0|8:2
g235  p31m  3*3       6            1:1|0:0          2:1|0:0          0:0|2:1          0:0|4:1          2:1|0:0          0:0|4:1
g243  p6    632       1            1:1|2:2          2:1|6:2          0:0|4:2          0:0|4:1         2:1|22:8         0:0|32:6
g244  p6    632       3            1:1|2:2          2:1|0:0          0:0|4:2          0:0|4:1          2:1|4:2          0:0|8:2
g245  p6    632       3            1:1|2:2          2:1|0:0          0:0|4:2          0:0|4:1          2:1|4:2          0:0|8:2
g246  p6    632       2            1:1|0:0          2:1|6:2          0:0|2:1          0:0|4:1          2:1|6:2         0:0|16:3
g247  p6    632       6            1:1|0:0          2:1|0:0          0:0|2:1          0:0|4:1          2:1|0:0          0:0|4:1
g248  p6    632       6            1:1|0:0          2:1|0:0          0:0|2:1          0:0|4:1          2:1|0:0          0:0|4:1
g268  p6m   *632      1            3:3|4:4          0:0|2:1          0:0|8:4          0:0|4:1         0:0|14:7         0:0|16:4
g269  p6m   *632      2            3:3|0:0          0:0|2:1          0:0|4:2          0:0|4:1          0:0|6:3          0:0|8:2
g270  p6m   *632      2            3:3|0:0          0:0|2:1          0:0|4:2          0:0|4:1          0:0|6:3          0:0|8:2
g271  p6m   *632      2            3:3|0:0          0:0|2:1          0:0|4:2          0:0|4:1          0:0|6:3          0:0|8:2

cells: (c_t=0 onto : classes) | (c_t!=0 onto : classes)
TOTAL                       328:237|112:70     68:24|182:65    96:39|612:202      40:5|432:68   76:24|1254:329  136:10|3428:279
